phrasal	meaning	significado	phrase	frase	position
ask out	invite on a date	convidar para um encontro	Brian asked Judy out to dinner and a movie.	Brian convidou Judy para jantar e assistir a um filme.	96
ask out	when you ask someone to go with you to a certain place or for a special occasion, to spend time together and have fun. if one or both parties involved are interested in a romantic way, then it is considered a date.	quando você pede a alguém para acompanhá-lo a um determinado local ou para uma ocasião especial, passe um tempo juntos e divirta-se. se uma ou ambas as partes envolvidas estão interessadas de uma maneira romântica, isso é considerado uma data.	He wanted to ask her out but was too shy.	Ele queria convidar ela para sair, mas era muito tímido.	97
ask out	to invite someone for a date.	convidar alguém para um encontro	He wanted to ask her out but was too shy.	Ele queria convidar ela para sair, mas era muito tímido.	98
ask out	when you ask someone to go with you to a certain place or for a special occasion, to spend time together and have fun. if one or both parties involved are interested in a romantic way, then it is considered a date.	quando você pede a alguém para acompanhá-lo a um determinado local ou para uma ocasião especial, passe um tempo juntos e divirta-se. se uma ou ambas as partes envolvidas estão interessadas de uma maneira romântica, isso é considerado uma data.	He wanted to ask her out but was too shy.	Ele queria convidar ela para sair, mas era muito tímido.	99
ask out	invite somebody, especially on a date	convidar alguém, especialmente para um encontro			100
ask over	invite.	convite, convidar	They have asked us over for drinks on Friday.	Eles nos convidaram para bebidas na sexta-feira.	101
ask over	invite them to come from their house to your house	convidar os outros a vir da casa deles para a sua casa	I asked her over so we could talk about what was on her mind.		102
ask round	invite someone.	convidar alguém	We asked John round for diner.	Nós convidamos John para o jantar.	103
ask round	invite someone to your house	convidar alguém para sua casa			104
ask somebody out	invite on a date	convidar para sair	Brian asked Judy out to dinner and a movie.	Brian convidou Judy para jantar e assistir a um filme.	105
attend to	diligently work on; to pay attention to	trabalhe diligentemente; prestar atenção a			106
auction off	sell something in an auction.	vender algo em um leilão	They auctioned off their property as they were heavily in debt.	Eles leiloaram sua propriedade quando estavam fortemente endividados.	107
back away	retreat or go backwards.	retroceder	The crowd backed away when the man pulled a knife.	A multidão retrocedeu quando o homem puxou uma faca.	108
back down	to withdraw your position in a fight, argument, plan, etc.	retirar sua posição em uma luta, argumento, plano, etc.	She refused to back down and was fired.	Ela se recusou a retratar seus argumentos e foi demitida.	109
back down	retract or withdraw your position or proposal in an argument.	retirar ou retirar sua posição ou proposta em uma discussão	She refused to back down and was fired.	Ela se recusou a retratar seus argumentos e foi demitida.	110
back down	to withdraw your position in a fight, argument, plan, etc.	retirar sua posição em uma luta, argumento, plano, etc.	She refused to back down and was fired.	Ela se recusou a retratar seus argumentos e foi demitida.	111
back down	take a less aggressive position in a conflict than one previously has or has planned to	acalmar, menos agressivo			112
back down	to withdraw from a position or confrontation, especially due to intimidation	retirar-se de uma posição ou confronto, especialmente devido à intimidação			113
back down	to cause something, especially a vehicle, to move backward through some region or space	recuar, dar a ré, descer, fazer com que algo, especialmente um veículo, se mova para trás através de uma região ou espaço	I slowly backed the truck down the hill.	Lentamente dei a ré no caminhão em direção a colina.	114
back down	to move backward through some region, especially in a vehicle	recuar, dar a ré, descer, retroceder uma região, especialmente num veículo	We backed down the driveway.	Nós demos a ré na entrada.	115
back down	retreat, reverse	desistir	I never back down from my goals; I fight until the end to reach them.	Eu nunca desisto dos meus objetivos; luto até o fim para alcançá-los.	116
back down	to retreat from a particular idea or course of action, often in a conflict.	desistir	I refuse to back down. This law must be passed, in the interest of public safety.		117
back down	to go down something backwards, such as a ladder or inclined driveway.	descer	Harry backed down the ladder safely.	Harry desceu a escada com segurança.	118
back into	enter a parking area in reverse gear.	entrar em uma área de estacionamento em marcha à ré	He prefers to back his car into the garage.	Ele prefere entrar de ré com seu carro na garagem.	119
back into	rely upon another team's loss in order to advance to the post-season	confiar na derrota de outro time para avançar para a pós-temporada			120
back into	to bump into or strike someone or something while moving backwards.	bater dando a ré	Oops, I didn't mean to back into you, didn't see you there!	Ops, eu não queria bater de ré em você, não tinha te visto lá!	121
back into	in sports, to secure a position in the postseason due to the loss of another team, as opposed to the victory of one's own.	no esporte, garantir uma posição na pós-temporada pela derrota de outro time, ao invés da vitória do próprio.			122
back off	when you leave an emotional situation, or to allow someone to handle something alone.	quando você deixa uma situação emocional ou permite que alguém lide com algo sozinho.	The police told the protesters to back off.	A polícia disse aos manifestantes para recuar.	123
back off	retreat.	retirar, recuar, retirada	The police told the protesters to back off.	A polícia disse aos manifestantes para recuar.	124
back off	when you leave an emotional situation, or to allow someone to handle something alone.	quando você deixa uma situação emocional ou permite que alguém lide com algo sozinho.	The police told the protesters to back off.	A polícia disse aos manifestantes para recuar.	125
back off	move backwards away from something	mover-se para trás se afastando de algo	Back off that other runner so you don't collide with her.		126
back off	become less aggressive, particularly when one had appeared committed to act	parar de intimidar, parar de ameaçar, parar de fazer pressão			127
back off	lower the setting of	reduzir as configurações de algo			128
back off	go away! stop bothering me!	pare de importunar	Back off! I told you I'm not going to the dance, and that's it!		129
back off	to retreat on a particular idea or course of action.	recuar sobre uma ideia ou curso de ação específico.			130
back off	to cause someone to retreat on a particular idea or course of action	fazer com que alguém recue em uma ideia ou curso de ação específico			131
back onto	reverse a vehicle onto something	dar a ré num veículo e passar em cima de algo			132
back onto	to move or maneuver something backwards onto something else.	dar a ré e passar sobre algo	Ugh, I can't believe I backed my car onto the lawn.	Não acredito que dei a ré no meu carro no relvado.	133
back onto	overlook something from the rear	negligenciar algo na ré de algo			134
back onto	to move or maneuver backwards, standing or resting on top of something else as a result.	mover ou manobrar de ré, e ficar em pé ou descansando em cima de outra coisa como resultado.	Did I really back onto your lawn? Whoops!	Eu realmente passei por cima do seu gramado? Uau!	135
back out	fail to keep an arrangement or promise.	deixar de cumprir um acordo ou promessa	He backed out two days before the holiday so we gave the ticket to his sister.	Ele voltou atrás dois dias antes do feriado, então nós demos o ingresso para sua irmã.	136
back out	reverse a vehicle from a confined space	dar a ré num veículo de dentro de um espaço confinado			137
back out	to decide not to keep a commitment or promise	decidir não cumprir um compromisso ou promessa			138
back out	to move out (of something or some place) in reverse.	sair de um local de ré	Go slowly as you back out of the driveway.	Vá devagar enquanto você da a ré para fora da garagem.	139
back out	withdraw from something one has agreed to do	retroceder de um acordo			140
back out	undo a change	desfazer uma alteração			141
back out	to move backward out of some region	sair, mover-se de dentro para fora, retroceder para fora de alguma região	The bear backed out of the cave.	O urso saiu da caverna.	142
back out	to move out of something backwards	sair de alguma coisa	The rabbit tried to back out of its burrow.	O coelho tentou sair de sua toca.	143
back out of	fail to keep an agreement, arrangement.	deixar de manter um acordo, arranjo	She backed out of the agreement at the last minute.	Ela voltou atrás do acordo no último minuto.	144
back out of	exit a parking area in reverse gear.	sair de uma área de estacionamento em marcha à ré	She backed the Rolls out of its parking space.	Ela saiu de ré o Rolls Royce do seu espaço de estacionamento.	145
back something up	support or assistance	apoio ou assistência	My wife backed me up over my decision to quit my job.	Minha esposa me apoiou na minha decisão de deixar meu emprego.	146
back up	support or assistance	apoio ou assistência	My wife backed me up over my decision to quit my job.	Minha esposa me apoiou na minha decisão de deixar meu emprego.	147
back up	reverse; to move or maneuver someone or something backwards	manobrar, reverter, dar a ré	You'll have to back up your car so that I can get out.	Você terá que manobrar de ré seu carro para que eu possa sair.	148
back up	reverse; to move or maneuver someone or something backwards	manobrar, reverter, dar a ré	You'll have to back up your car so that I can get out.	Você terá que manobrar de ré seu carro para que eu possa sair.	149
back up	to support or assist someone or something	apoiar ou ajudar alguém ou alguma coisa	Can you back up your claims with evidence?	Você pode fazer backup de suas reivindicações com evidências?	150
back up	to reverse or move backward	inverter ou mover para trás	Could you back up the car so I can park?	Podes fazer o backup do carro para que eu possa estacionar?	151
back up	to walk or drive a vehicle backwards.	andar ou dirigir um veículo para trás.	You should always back up important files and documents so that you won't lose all your work if something goes wrong with the hardware.	Você deve sempre fazer backup de arquivos e documentos importantes para que você não perca todo o seu trabalho se algo der errado com o hardware.	152
back up	make a copy of computer data.	fazer uma cópia dos dados do computador	You should always back up important files and documents so that you won't lose all your work if something goes wrong with the hardware.	Você deve sempre fazer backup de arquivos e documentos importantes para que você não perca todo o seu trabalho se algo der errado com o hardware.	153
back up	support.	apoio, ajuda, auxílio, suporte	The rest of the staff backed her up when she complained about working conditions.	O resto da equipe a apoiou quando ela reclamou das condições de trabalho.	154
back up	drive a vehicle backwards.	dirigir um veículo de ré	Tom backed up without looking and ran over his laptop.	Tom dirigiu de ré sem olhar e passou por cima do laptop.	155
back up	to walk or drive a vehicle backwards.	andar ou dirigir um veículo para trás.	You should always back up important files and documents so that you won't lose all your work if something goes wrong with the hardware.	Você deve sempre fazer backup de arquivos e documentos importantes para que você não perca todo o seu trabalho se algo der errado com o hardware.	156
back up	move backwards, especially for a vehicle to do so	dar a ré			157
back up	to move or maneuver someone or something backwards.	mover ou manobrar alguém ou algo para trás.	I'm having a hard time backing the van up to the door.	Estou tendo dificuldades em dar a ré na van até à porta.	158
back up	move a vehicle backward	dar a ré			159
back up	undo one's actions	desfazer algo			160
back up	reconsider one's thoughts	reconsidear os pensamentos, as ideias			161
back up	copy (data) as a security measure	fazer cópia de dados como medida de segurança			162
back up	provide support or the promise of support	oferecer suporte ou prometer suporte			163
back up	halt the flow or movement of something	interromper o fluxo ou movimento de algo			164
back up	make a copy of information	fazer uma cópia das informações			165
back up	make a car go backwards	fazer um carro andar para trás			166
back up something	reverse; to move or maneuver someone or something backwards		You'll have to back up your car so that I can get out.		167
back up something	reverse; to move or maneuver someone or something backwards				168
bag out	criticise.	criticar	Don't bag out Australian English.	Não critique o Inglês Australiano.	169
bail out	save, rescue.	salvar, resgatar	The government had to bail out the airline because it was losing so much money.	O governo teve que resgatar a companhia aérea porque estava perdendo muito dinheiro.	170
bail out	remove water from something that is flooded.	remover a água de algo que está inundado	The boat was leaking so they had to bail it out.	O barco estava inundando então eles tiveram que remover a água.	171
bail out	jump out of a plane because it is going to crash.	saltar de um avião porque vai cair	The pilot bailed out when he saw that the engines had failed.	O piloto se saltou do avião quando viu que os motores falharam.	172
bail out	rescue, especially financially	resgate, especialmente financeiramente			173
bail out	leave (or not attend at all) a place or a situation	sair (ou não comparecer) de um lugar ou situação			174
bail out	sell all or part of one's holdings in stocks, real estate, a business, etc.	vender a totalidade ou parte de suas participações em ações, imóveis, uma empresa, etc.			175
bail out	to rescue somebody from a difficult situation, especially financial problems	resgatar alguém de uma situação difícil, especialmente problemas financeiros			176
bail out of	pay a bond to release someone from jail.	pagar uma fiança para libertar alguém da prisão	I must bail my drunken brother out of jail.	Devo pagar fiança para meu irmão bêbado sair da cadeia.	177
bail out on	stop supporting someone when they are in trouble.	parar de apoiar alguém quando estiver com problemas	Everybody bailed out on him when the scandal broke.	Todo mundo deixou de apoiar ele quando o escândalo explodiu.	178
bail up	talk to someone and delay them.	falar com alguém e atrasá-lo	I was late because he bailed me up on the phone and wouldn't shut up.	Eu estava atrasado porque ele me atrasou com conversas no telefone e não calava a boca.	179
bail up	rob someone at gunpoint.	roubar alguém sob a mira de uma arma	He was bailed up by a couple of muggers as he came out of the bank.	Ele foi assaltado por um par de assaltantes enquanto saía do banco.	180
bake off	finish baking partly baked food	terminar de assar alimentos parcialmente assados			181
ball off	waste time; waste efforts; to do something inefficiently.	gastar tempo, esforços, fazer algo ineficientemente			182
ball out	cry intensely; to sob or weep	chorar intensamente; soluçar ou chorar			183
ball up	confuse or make things complicated.	confundir ou complicar as coisas	The new project has balled me up- I have no idea what to do.	O novo projeto me complicou - não tenho ideia do que fazer.	184
ball up	roll or form into a round shape.	enrolar em uma forma redonda.	He balled up his napkin when he had finished eating.	Ele enrolou o guardanapo quando tinha terminado de comer.	185
ball up	crush into a ball shape	esmague em formato de bola			186
ball up	coil up into a ball	enrole-se em uma bola			187
ball up	hunch over and pull in one's arms and legs	curve-se e puxe os braços e as pernas			188
balls up	spoil, ruin.	estragar, arruinar	He ballsed the presentation up.	Ele arruinou a apresentação.	189
balls up	do something badly. to ruin a job	faça algo mal. para arruinar um trabalho			190
bang about	move in a place making a lot of noise.	mover-se em um lugar fazendo muito barulho	He's banging about in the kitchen.	Ele está movendo-se na cozinha.	191
bang around	move in a place making a lot of noise.	mover-se em um lugar fazendo muito barulho	I can hear him banging about upstairs.	Posso ouvi-lo movendo-se no andar de cima.	192
bang on	talk at great length.	falar longamente	He banged on for half an hour but no one was listening.	Ele tagarelou por meia hora, mas ninguém estava ouvindo.	193
bang on about	keep talking about something.	continuar falando sobre algo	He's always banging on about football.	Ele está sempre tagarelando sobre o futebol.	194
bang out	play a musical instrument loudly.	tocar um instrumento musical com som muito alto	She banged the tune out on the piano.	Ela tocava bem alto a melodia no piano.	195
bang up	put someone in prison.	colocar alguém na prisão	The judge banged him up for eight years.	O juiz o sentenciou em oito anos.	196
bang up	damage badly.	danificar muito	He banged his car up last night.	Ele bateu seu carro na noite passada.	197
bank on	count or rely on.	contar com ou confiar	I'm banking on your help; I can't do it alone.	Estou confiando em sua ajuda; Eu não posso fazer isso sozinho.	198
bargain down	persuade someone to drop the price of something they're selling.	persuadir alguém a baixar o preço de algo que está vendendo	I bargained her down to half what she originally wanted.	Eu barganhei com ela até metade do que ela originalmente queria.	199
bargain for	expect something to happen (usually negative).	esperar que algo aconteça, geralmente negativo	I hadn't bargained for so many people coming.	Eu não previa que tantas pessoas viessem.	200
bargain on	expect something to happen (usually negative).	esperar que algo aconteça, geralmente negativo	I hadn't bargained on him coming.	Eu não previa que ele viria.	201
barge in	enter a place and interrupt.	entrar em um lugar e interromper	He keeps barging in and asking stupid questions when I'm trying to work.	Ele continua a interromper e a fazer perguntas estúpidas quando estou tentando trabalhar.	202
barge into	enter a place and interrupt people rudely.	entrar em um lugar e interromper as pessoas rudemente	They barged into my office without knocking and started talking even though I was on the phone.	Eles entraram no meu escritório sem bater e começam a falar, embora eu estivesse no telefone.	203
bash about	mistreat physically.	maltratar fisicamente	If you bash your monitor about like that, it won't last long.	Se você maltrata seu monitor dessa maneira, ele não vai durar muito tempo.	204
bash in	break, damage or injure by hitting.	quebrar, danificar ou ferir ao bater	The burglars bashed the door in to enter the house.	Os assaltantes quebraram a porta para entrar na casa.	205
bash out	write something quickly without much preparation.	escrever algo rapidamente sem muita preparação	I bashed the essay out the night before I had to hand it in.	Eu rabisquei o ensaio na noite anterior em que tinha que entregá-lo.	206
bash up	break, damage or hurt by hitting.	quebrar, danificar ou machucar ao bater	They bashed him up in the fight in the pub last week and he had to go to hospital.	Eles o machucaram na luta no pub na semana passada e ele teve que ir ao hospital.	207
bawl out	scold, shout at someone.	repreender, gritar com alguém	She bawled me out for coming home drunk.	Ela me repreendeu por voltar para casa bêbado.	208
bawl out	scold.	repreender	She bawled Raj out for getting there late.	Ela repreendeu Raj por chegar tarde.	209
bawl out	sing or shout unpleasantly loudly.	cantar ou gritar desagradavelmente alto	He bawled out our names at the top of his voice.	Ele gritou nossos nomes no máximo de sua voz.	210
be above	be too good, classy or mature to do something; to disdain	ser muito bom, estiloso ou maduro para fazer algo, fazer desdém.			211
be above	outrank	superar a marca, superar uma classificação			212
be above	behave as if you are better or more important than you really are	comportar-se como se você fosse melhor ou mais importante do que realmente é	She's getting a bit above herself. She's only been working for me for two weeks and already she's telling me what to do!		213
be after	try to find or get.	tentar encontrar ou obter	The police are after him because of the theft.	A polícia está atrás dele por causa do roubo.	214
be along	arrive.	chegar, alcançar, atingir	The next bus should be along in the next quarter of an hour or so.	O próximo ônibus deve chegar nos próximos quinze minutos ou mais.	215
be along	arrive	chegar	John will be along soon.		216
be around	be alive, existent, or present	está ou estará vindo, estar presente ou existir			217
be around	be near; to socialize with	estar próximo, se socializar com			218
be around	to be present at or come to a certain place, usually specified by a particular time.	estar presente ou vir a um certo local			219
